nome_no_ons;nome_no_excel;observacao
EÓLICA CATAVENTOS DO ACARAÚ I;CATAVENTOS ACARAÚ I;Mesma usina (Afaplan) - ONS adiciona prefixo "EÓLICA" e palavra "DO"
CONJ. BOM NOME;CONJUNTO FOTOVOLTAICO BOM NOME 138KV;Mesma usina (Comerc) - ONS usa nome encurtado sem indicação de tensão
